"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"247","162-87267",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,887
"248","162-87268",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,459
"249","162-87269",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,542
"250","162-87270",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.025,618
"251","162-87271",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,625
"252","162-87272",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0385,522
"253","162-87273",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2565,638
"254","162-87274",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1659,530
"255","162-87275",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,462
"256","162-87276",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,522
"257","162-87277",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004,520
"258","162-87278",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,575
"259","162-87279",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0827,720
"260","162-87280",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,675
"261","162-87281",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,760
"262","162-87283",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,505
"263","162-87284",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,437
"264","162-87285",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,604
"265","162-87286",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,710
"266","162-87287",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600
"267","162-87288",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1617,615
"268","162-87289",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0494,550
"269","162-87290",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,475
"270","162-87291",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600
"271","162-87292",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,440
"272","162-87293",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,570
"273","162-87294",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,460
"274","162-87295",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0327,570
"275","162-87296",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,515
"276","162-87297",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,680
"277","162-87298",2018,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,480
"278","162-87299",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8203,700
"279","162-87300",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,529
"280","162-87301",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600
